setnum,name,retailp,benew,bused,releasedDate,retiredDate,theme,subtheme,pieces,minifign,growth,annualgrow,futuregrow,usedrange,minifigval,retirepop,link
10197-1,Fire Brigade,$149.99,$674.00,$515.83,September 12 2009,December 2 2013,Advanced Models,Modular Buildings,2231,4,349.36%,10.41%,8.85%,$469.73 - $618.99,$50.33,,https://www.brickeconomy.com/set/10197-1/
10211-1,Grand Emporium,$149.99,$478.78,$390.53,March 3 2010,October 5 2014,Advanced Models,Modular Buildings,2182,7,219.21%,7.79%,,$376.05 - $468.63,$61.93,,https://www.brickeconomy.com/set/10211-1/
10218-1,Pet Shop,$149.99,$259.82,$248.90,May 12 2011,November 26 2016,Advanced Models,Modular Buildings,2032,4,73.22%,6.81%,,$233.26 - $298.68,$17.51,,https://www.brickeconomy.com/set/10218-1/
10232-1,Palace Cinema,$149.99,$307.13,$285.00,March 2013,November 2017,Icons,Modular Buildings,2196,7,104.77%,13.73%,,$250.70 - $342.00,$47.38,,https://www.brickeconomy.com/set/10232-1/
10246-1,Detective's Office,$159.99,$405.71,$350.00,January 2015,March 2018,Icons,Modular Buildings,2262,6,153.58%,19.40%,11.64%,$332.50 - $420.00,,,https://www.brickeconomy.com/set/10246-1/
10251-1,Brick Bank,$169.99,$568.73,$457.96,January 2 2016,November 14 2018,Icons,Modular Buildings,2380,6,234.57%,13.22%,,$419.64 - $549.55,$35.72,,https://www.brickeconomy.com/set/10251-1/
10243-1,Parisian Restaurant,$159.99,$328.96,$280.00,January 2 2014,January 2020,Icons,Modular Buildings,2469,5,105.61%,23.10%,15.01%,$265.63 - $336.00,,,https://www.brickeconomy.com/set/10243-1/
10260-1,Downtown Diner,$169.99,$298.81,$298.51,January 2018,November 2020,Icons,Modular Buildings,2480,6,75.78%,23.91%,15.54%,$291.19 - $358.21,$22.50,,https://www.brickeconomy.com/set/10260-1/
10255-1,Assembly Square,$299.99,,,January 2 2017,End of 2023 (88.6%),Icons,Modular Buildings,4002,9,,,,,$21.85,16.60%,https://www.brickeconomy.com/set/10255-1/
10264-1,Corner Garage,$199.99,$236.38,,January 2 2019,December 15 2021,Icons,Modular Buildings,2569,6,18.20%,11.70%,,,$12.69,,https://www.brickeconomy.com/set/10264-1/
10270-1,Bookshop,$199.99,,,January 2 2020,End of 2023 (71.0%),Icons,Modular Buildings,2504,5,,,,,$11.17,16.18%,https://www.brickeconomy.com/set/10270-1/
10278-1,Police Station,$199.99,,,January 2 2021,End of 2024 (76.6%),Icons,Modular Buildings,2923,5,,,,,$11.65,16.65%,https://www.brickeconomy.com/set/10278-1/
10297-1,Boutique Hotel,$229.99,,,January 2022,End of 2025 (80.7%),Icons,Modular Buildings,3066,7,,,,,$20.60,16.79%,https://www.brickeconomy.com/set/10297-1/
